Characteristics,City of Ottawa,Orléans East-Cumberland - Ward 1,Orléans West-Innes - Ward 2,Barrhaven West - Ward 3,Kanata North - Ward 4,West Carleton-March - Ward 5,Stittsville - Ward 6,Bay - Ward 7,College - Ward 8,Knoxdale-Merivale -Ward 9,Gloucester-Southgate - Ward 10,Beacon Hill-Cyrville - Ward 11,Rideau-Vanier - Ward 12,Rideau-Rockcliffe - Ward 13,Somerset - Ward 14,Kitchissippi - Ward 15,River -Ward 16,Capital - Ward 17,Alta Vista - Ward 18,Orléans South-Navan - Ward 19,Osgoode - Ward 20,Rideau-Jock - Ward 21,Riverside South-Findlay Creek - Ward 22,Kanata South - Ward 23,Barrhaven East - Ward 24
Total - Income statistics for two-or-more-persons private households - 25% sample data,291025,14855,14135,14180,11970,7630,13350,13770,15095,11650,13500,9880,12270,10750,10365,10845,13305,11220,12715,13970,9255,8365,9135,14735,14090
Median total income of two-or-more-person households in 2020 ($),127000,137000,131000,137000,144000,150000,150000,108000,115000,115000,108000,112000,88000,108000,107000,152000,110000,132000,112000,144000,148000,149000,147000,132000,135000
Average total income of two-or-more-person households in 2020 ($),151400,152600,149600,156000,168400,185600,168200,129400,136200,134600,122900,132200,108900,145800,149400,201200,131600,181200,139400,158800,175200,178200,171000,150200,150400
Median after-tax income of two-or-more-person households in 2020 ($),109000,116000,111000,116000,120000,125000,125000,95000,100000,101000,95000,99000,78500,95000,93000,126000,96000,113000,98000,122000,123000,124000,125000,112000,116000
Average after-tax income of two-or-more-person households in 2020 ($),123000,126300,123200,127300,134200,145400,135200,106700,113500,112600,104600,111300,91700,116500,117500,152000,109900,138000,113700,130800,138800,140600,139000,123500,124800
Total - Household total income groups in 2020 for private households - 25% sample data,407255,18200,17680,16775,15020,9105,15900,22275,20900,15740,18010,13445,24775,17350,25130,18230,19630,17570,18715,16610,10815,10045,10760,17940,16625
"  Under $5,000",4405,60,100,105,145,45,100,275,250,135,200,70,665,220,535,190,280,420,240,70,55,30,60,80,85
"  $5,000 to $9,999",2215,0,35,40,55,0,45,145,90,75,70,50,325,150,310,125,180,185,135,20,35,20,15,30,50
"  $10,000 to $14,999",4740,75,25,60,90,65,60,310,200,130,250,110,725,365,775,265,275,270,330,45,70,60,30,80,65
"  $15,000 to $19,999",6100,90,115,100,130,65,80,455,195,175,300,175,950,475,810,395,405,295,370,80,100,35,80,125,120
"  $20,000 to $24,999",11110,180,205,160,190,180,105,890,570,355,570,290,1525,780,1365,695,640,625,810,205,115,140,70,235,195
"  $25,000 to $29,999",9115,195,220,125,155,115,120,780,420,405,470,340,1245,570,1065,555,585,395,515,130,150,135,105,180,145
"  $30,000 to $34,999",9485,200,200,170,220,125,125,780,510,375,520,265,1150,540,1045,390,705,530,600,180,145,135,115,175,290
"  $35,000 to $39,999",10505,235,325,235,315,85,185,915,630,400,680,370,1025,620,1010,465,730,460,720,210,105,160,135,275,220
"  $40,000 to $44,999",10750,340,395,280,260,195,250,910,655,530,535,370,1095,665,870,450,685,440,580,225,175,170,115,370,225
"  $45,000 to $49,999",11050,315,330,245,245,170,255,880,620,405,575,455,1010,630,880,515,735,555,710,220,260,170,130,395,355
"  $50,000 to $59,999",23230,775,875,645,530,330,565,1720,1390,1075,1190,985,2090,1230,1760,995,1440,1120,1340,585,425,390,355,785,655
"  $60,000 to $69,999",24185,930,1020,745,740,340,600,1705,1530,1070,1215,1005,1830,1240,2040,940,1270,1115,1255,675,480,465,355,815,815
"  $70,000 to $79,999",24555,920,1060,950,780,465,750,1455,1390,990,1405,880,1685,1080,1770,1035,1285,1060,1170,845,490,500,615,980,980
